Country,Region,Altitude_Min,Altitude_Max,Altitude_Average,Year,Owner,Species,Variety,Processing_Method,Aroma,Flavor,Aftertaste,Acidity,Body,Balance,Clean_Cup,Overall,Total_Cup_Points
Ethiopia,Sidamo,1700,2000,1850,2010,Ethiopia Commodity Exchange,Arabica,nan,Natural / Dry,7.67,8.00,7.83,8.00,7.92,7.83,10.0,10.0,85.08
Ethiopia,Sidamo,1700,2000,1850,2010,Ethiopia Commodity Exchange,Arabica,nan,Washed / Wet,7.58,7.83,7.58,8.00,7.83,7.50,10.0,10.0,83.83
Brazil,Sul de Minas,1200,1200,1200,2011,Nucoffee,Arabica,Bourbon,Natural / Dry,8.50,8.50,8.00,8.00,8.00,8.00,10.0,10.0,86.92
Brazil,Vale da Grama,1300,1300,1300,2011,Nucoffee,Arabica,Bourbon,Natural / Dry,8.50,8.17,8.00,7.75,8.00,8.00,10.0,10.0,86.42
Brazil,Sul de Minas,1250,1250,1250,2011,Nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,8.33,8.00,8.00,8.00,7.75,8.00,10.0,10.0,86.08
Brazil,Sul de Minas,1250,1250,1250,2011,Nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,8.00,8.00,8.00,7.67,7.75,8.00,10.0,10.0,85.42
Brazil,Sul de Minas,1200,1200,1200,2011,Nucoffee,Arabica,Bourbon,Natural / Dry,8.00,7.92,7.75,7.75,8.00,7.75,10.0,10.0,84.92
Brazil,Sul de Minas,1000,1000,1000,2011,Nucoffee,Arabica,Catuai,Natural / Dry,8.00,8.00,7.75,8.00,7.50,7.75,10.0,10.0,84.92
Brazil,Vale da Grama,1300,1300,1300,2011,Nucoffee,Arabica,Bourbon,Semi-washed / Semi-pulped,8.00,8.00,7.75,7.75,7.58,7.75,10.0,10.0,84.58
Guatemala,Antigua,1500,1500,1500,2012,Juan Luis Alvarado Romero,Arabica,Bourbon,Washed / Wet,8.00,7.83,7.67,8.17,7.83,8.00,10.0,10.0,85.83
Colombia,Huila,1600,1950,1775,2012,Racafe & Cia S.C.A,Arabica,Caturra,Washed / Wet,7.75,7.92,7.83,7.75,7.75,8.00,10.0,10.0,84.92
Mexico,Jaltenango,1500,1500,1500,2012,Alfredo Bojalil,Arabica,Typica,Washed / Wet,7.92,7.83,7.75,7.75,7.75,7.83,10.0,10.0,84.50
Ethiopia,Sidamo,1800,1800,1800,2012,Steven Kil,Arabica,Other,Natural / Dry,7.92,7.92,7.83,8.00,7.92,7.92,10.0,8.67,84.08
Indonesia,Lintong,1250,1400,1325,2012,Nomura Trading Co., Ltd.,Arabica,Sumatra Lintong,Semi-washed / Semi-pulped,7.75,7.83,7.67,8.00,8.08,7.83,10.0,10.0,85.17
Brazil,Grama Valley,1100,1100,1100,2012,Nucoffee,Arabica,Mundo Novo,Natural / Dry,7.42,7.58,7.25,7.50,7.33,7.50,10.0,10.0,82.00
Ethiopia,Oromia,1800,2200,2000,2014,Yidnekachew Dabessa,Arabica,nan,Natural / Dry,8.17,8.58,8.42,8.42,8.50,8.25,10.0,10.0,89.00
Ethiopia,Guji-Hambela,1950,2200,2075,2014,Metad PLC,Arabica,Other,Washed / Wet,8.25,8.50,8.25,8.50,8.42,8.33,10.0,10.0,88.83
Costa Rica,San Ramon,1300,1300,1300,2014,The Coffee Source Inc.,Arabica,Caturra,Washed / Wet,8.08,8.25,8.00,8.17,8.00,8.33,10.0,10.0,87.17
Colombia,Huila,1600,1950,1775,2014,Racafe & Cia S.C.A,Arabica,Caturra,Washed / Wet,7.92,7.75,7.67,7.92,7.67,7.75,10.0,10.0,84.42
Indonesia,East Java,1200,1600,1400,2012,Ekai International Company Ltd.,Arabica,Typica,Washed / Wet,8.17,7.67,7.58,7.58,7.42,7.67,10.0,10.0,83.67
Indonesia,Dolok Sanggul,1300,1400,1350,2010,Specialty Coffee Association of Indonesia,Arabica,nan,nan,7.67,7.58,7.50,7.58,7.67,7.58,10.0,10.0,83.08
Indonesia,Bener Meriah,1500,1500,1500,2015,Aulia Arif Syahri,Arabica,Sumatra,Semi-washed / Semi-pulped,7.25,7.67,7.58,7.92,7.83,7.58,10.0,10.0,83.50
Indonesia,Aceh Gayo,1300,1300,1300,2017,Sanjava Coffee,Arabica,Bourbon,Washed / Wet,7.50,7.50,7.42,7.42,7.50,7.42,10.0,10.0,82.08
Kenya,Nyeri,1800,1800,1800,2014,Lydiah Mwangi,Arabica,SL34,Washed / Wet,7.92,7.83,7.58,7.92,7.75,7.83,10.0,10.0,84.75
Kenya,Central Kenya,1580,1580,1580,2012,Rashid Moledina & Co. (MSA) Ltd.,Arabica,SL34,Washed / Wet,7.75,7.83,7.75,8.08,8.00,7.75,10.0,10.0,85.00
Kenya,Kirinyaga,1900,1900,1900,2014,Essencecoffee,Arabica,SL28,Natural / Dry,7.92,7.92,7.83,8.08,7.83,7.92,10.0,10.0,85.50
Panama,Boquete,1680,1680,1680,2014,Essencecoffee,Arabica,Caturra,Natural / Dry,8.00,7.75,7.83,7.83,7.67,8.58,10.0,10.0,85.50
Nicaragua,Jinotega,900,1100,1000,2015,Cooperativa El Gorrion R.L,Arabica,Caturra,Natural / Dry,7.67,7.83,7.83,7.50,7.67,7.83,10.0,10.0,84.17
Uganda,Eastern,1400,1900,1650,2013,Kawacom Uganda Ltd,Arabica,SL14,Natural / Dry,7.75,7.92,7.67,7.67,8.25,7.75,10.0,10.0,84.83
Uganda,Eastern,1400,1900,1650,2013,Kawacom Uganda Ltd,Arabica,SL14,Washed / Wet,7.92,7.75,7.58,7.67,7.67,7.83,10.0,10.0,84.00
Mexico,Chiapas,1500,1700,1600,2013,Lusso Lab,Arabica,Other,Washed / Wet,7.42,7.58,7.50,7.67,7.25,7.50,10.0,10.0,82.50
Costa Rica,Central Valley,1200,1400,1300,2014,Eric Thormaehlen,Arabica,Catuai,Washed / Wet,8.00,7.58,7.83,7.75,7.75,7.75,10.0,10.0,84.67
Mexico,Veracruz,1300,1300,1300,2017,Cafes Tomari SA de CV,Arabica,Mundo Novo,Washed / Wet,7.83,7.83,7.58,7.92,7.42,7.50,10.0,10.0,83.92
Rwanda,Gicumbi,1900,1900,1900,2015,Samuel Muhirwa,Arabica,Bourbon,Washed / Wet,7.83,7.92,7.75,7.83,7.75,7.75,9.33,9.33,82.83
Thailand,Thailand,800,800,800,2014,Doi Tung Development Project,Arabica,nan,Washed / Wet,7.50,7.75,7.58,7.83,7.67,7.58,10.0,10.0,83.67
Honduras,Marcala,1450,1450,1450,2014,Cadexsa,Arabica,Catuai,Washed / Wet,7.83,7.75,8.00,7.67,7.67,7.67,10.0,10.0,84.75
Honduras,Comayagua,1400,1400,1400,2016,Bismarck Castro,Arabica,Caturra,Natural / Dry,7.25,7.25,7.00,7.00,7.42,7.00,10.0,10.0,80.25
India,Chikmagalur,750,750,750,2013,Andrew Hetzel,Robusta,nan,Natural / Dry,7.50,7.50,7.25,7.83,7.67,7.83,10.0,7.83,81.25
Uganda,Western,900,1300,1100,2014,Ugacof,Robusta,nan,nan,7.67,7.83,7.83,7.83,7.92,7.75,10.0,7.75,82.42
India,Chikmagalur Karnataka,1000,1000,1000,2015,Nishant Gurjer,Robusta,Other,Natural / Dry,7.67,7.83,7.75,7.50,7.75,7.58,10.0,7.75,81.58